,Ano/Mês,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
58,Atual,GGRC11,Logística,120.0,0.05183512088294719,0.09790209790209788,0.35365853658536583,0.2444444444444445,0.3103448275862069,0.33986928104575165,0.34282178217821785,0.5897945659377071,0.5704292527821939,0.4859491493022366,0.2504626560403989,0.0326506365236316,0.6326530612244898,0.0,0.234375
59,Atual,GTWR11,Lajes Corporativas,106.34,0.044472646138480496,0.09370629370629373,0.38414634146341453,0.27555555555555555,0.3563218390804598,0.392156862745098,0.3873762376237624,0.5937707090788602,0.5758346581875994,0.7575989294589943,0.3137651702623395,0.02606332480193649,0.7346938775510204,0.0,0.015625
60,Atual,HAAA11,Lajes Corporativas,101.0,0.0012049351946451395,0.07272727272727272,0.3170731707317073,0.2266666666666667,0.0,0.0,0.1905940594059406,0.6192842942345925,0.5968203497615263,0.7413496463391321,0.06781260664524741,0.02511395244255187,0.7142857142857143,0.036764705882352935,0.015625
61,Atual,HABT11,Títulos e Val. Mob.,124.66,0.09226688169185727,0.2517482517482517,0.8658536585365854,0.6133333333333333,0.7068965517241379,0.7254901960784315,0.7623762376237624,0.7571239231278993,0.7596184419713831,0.857579812655324,0.14074688266061994,0.025999478122796595,0.9183673469387756,0.06617647058823531,0.0
62,Atual,HBRH11,Híbrido,94.0,0.007577805368604795,0.09230769230769233,0.4268292682926829,0.2977777777777778,0.0,0.0,0.25,0.5321404903909875,0.5186009538950715,0.6465303001338176,0.06306005127053432,0.028442307585540668,0.5306122448979592,0.06617647058823531,0.046875
63,Atual,HCTR11,Outros,138.76,0.308971956622333,0.2797202797202797,0.8597560975609756,0.6044444444444445,0.8505747126436781,0.8954248366013072,0.6806930693069307,0.4711729622266402,0.481081081081081,0.6597208946664117,0.3091980033212835,0.030474297547732333,0.8673469387755102,0.06617647058823531,0.0
64,Atual,HFOF11,Títulos e Val. Mob.,98.41,0.06765504950313604,0.0839160839160839,0.36585365853658536,0.2622222222222222,0.3390804597701149,0.3725490196078431,0.349009900990099,0.6434724983432738,0.6228934817170111,0.6960428216402217,0.5379327073136375,0.02476973556371066,0.6938775510204082,0.06617647058823531,0.0
65,Atual,HGBS11,Shoppings,199.78,0.04077079200436159,0.04895104895104895,0.10365853658536586,0.08444444444444445,0.15517241379310345,0.1437908496732026,0.16336633663366334,0.5828363154406891,0.551033386327504,0.6061938443892181,0.5707475759506502,0.059080385744979716,0.5816326530612245,0.09767156862745098,0.265625
66,Atual,HGCR11,Títulos e Val. Mob.,105.31,0.4984033463295292,0.1048951048951049,0.4268292682926829,0.2933333333333333,0.3735632183908046,0.3660130718954249,0.39232673267326734,0.5798542080848244,0.5647058823529412,0.8566239724718028,0.3361805135600098,0.027154270232457433,0.6836734693877551,0.06617647058823531,0.0
67,Atual,HGFF11,Títulos e Val. Mob.,85.05,0.02357641259180186,0.06993006993006992,0.35365853658536583,0.26666666666666666,0.3735632183908046,0.3986928104575163,0.36386138613861385,0.50960901259112,0.4931637519872814,0.5490346014146434,0.07123957536074052,0.02494184400313126,0.5510204081632653,0.06617647058823531,0.0
